time,0,1,2,3,4,5,6,7
1645219566.0795078,30.0,31.0,31.0,29.0,30.0,29.0,30.0,30.0
1645219566.415414,30.0,31.0,31.0,29.0,30.0,29.0,30.0,30.0
1645219566.7509282,30.0,31.0,31.0,29.0,30.0,29.0,30.0,30.0
1645219567.0864604,30.0,31.0,31.0,29.0,30.0,29.0,30.0,30.0
1645219567.422397,30.0,31.0,31.0,29.0,30.0,29.0,30.0,30.0
1645219567.7578645,30.0,31.0,31.0,29.0,30.0,29.0,30.0,30.0
1645219568.0934803,30.0,30.0,31.0,29.0,30.0,29.0,30.0,30.0
1645219568.4294043,30.0,30.0,31.0,29.0,30.0,29.0,30.0,30.0
1645219568.7649329,30.0,30.0,31.0,29.0,30.0,29.0,30.0,30.0
1645219569.100479,30.0,30.0,31.0,29.0,30.0,29.0,30.0,30.0
1645219569.4364226,30.0,30.0,31.0,29.0,30.0,29.0,30.0,30.0
1645219569.771957,30.0,30.0,31.0,29.0,30.0,29.0,30.0,30.0
1645219570.107557,30.0,31.0,31.0,29.0,30.0,29.0,29.0,30.0
1645219570.4434288,30.0,31.0,31.0,29.0,30.0,29.0,29.0,30.0
1645219570.7790222,30.0,31.0,31.0,29.0,30.0,29.0,29.0,30.0
1645219571.1147187,30.0,31.0,31.0,29.0,30.0,29.0,29.0,29.0
1645219571.4504898,30.0,31.0,31.0,29.0,30.0,29.0,29.0,29.0
1645219571.785968,30.0,31.0,31.0,29.0,30.0,29.0,29.0,29.0
1645219572.121513,30.0,31.0,31.0,29.0,30.0,29.0,30.0,30.0
1645219572.4574134,30.0,31.0,31.0,29.0,30.0,29.0,30.0,30.0
1645219572.7929168,30.0,31.0,31.0,29.0,30.0,29.0,30.0,30.0
1645219573.1287303,30.0,31.0,30.0,29.0,30.0,29.0,30.0,30.0
1645219573.46476,30.0,31.0,30.0,29.0,30.0,29.0,30.0,30.0
1645219573.800298,30.0,31.0,30.0,29.0,30.0,29.0,30.0,30.0
1645219574.1358473,30.0,31.0,30.0,29.0,29.0,29.0,30.0,30.0
1645219574.4716694,30.0,31.0,30.0,29.0,29.0,29.0,30.0,30.0
1645219574.8072026,30.0,31.0,30.0,29.0,29.0,29.0,30.0,30.0
1645219575.1427372,30.0,31.0,30.0,29.0,30.0,29.0,31.0,29.0
1645219575.4785666,30.0,31.0,30.0,29.0,30.0,29.0,31.0,29.0
1645219575.814056,30.0,31.0,30.0,29.0,30.0,29.0,31.0,29.0
1645219576.1496816,30.0,31.0,31.0,29.0,30.0,30.0,29.0,29.0
1645219576.4854763,30.0,31.0,31.0,29.0,30.0,30.0,29.0,29.0
1645219576.8210313,30.0,31.0,31.0,29.0,30.0,30.0,29.0,29.0
1645219577.1565492,30.0,31.0,31.0,30.0,30.0,29.0,30.0,29.0
1645219577.492417,30.0,31.0,31.0,30.0,30.0,29.0,30.0,29.0
1645219577.82794,30.0,31.0,31.0,30.0,30.0,29.0,30.0,29.0
1645219578.1634896,30.0,31.0,31.0,29.0,30.0,29.0,30.0,29.0
1645219578.499319,30.0,31.0,31.0,29.0,30.0,29.0,30.0,29.0
1645219578.834792,30.0,31.0,31.0,29.0,30.0,29.0,30.0,29.0
1645219579.170284,30.0,30.0,29.0,29.0,30.0,29.0,30.0,29.0
1645219579.5060139,30.0,30.0,29.0,29.0,30.0,29.0,30.0,29.0
1645219579.841624,30.0,30.0,29.0,29.0,30.0,29.0,30.0,29.0
1645219580.1771684,30.0,31.0,29.0,30.0,29.0,29.0,30.0,30.0
1645219580.5131266,30.0,31.0,29.0,30.0,29.0,29.0,30.0,30.0
1645219580.8487196,30.0,31.0,29.0,30.0,29.0,29.0,30.0,30.0
1645219581.1843054,30.0,30.0,31.0,29.0,30.0,29.0,29.0,29.0
1645219581.5203424,30.0,30.0,31.0,29.0,30.0,29.0,29.0,29.0
1645219581.855907,30.0,30.0,31.0,29.0,30.0,29.0,29.0,29.0
1645219582.1914454,30.0,31.0,31.0,29.0,30.0,29.0,30.0,30.0
1645219582.5275135,30.0,31.0,31.0,29.0,30.0,29.0,30.0,30.0
1645219582.8630462,30.0,31.0,31.0,29.0,30.0,29.0,30.0,30.0
1645219583.1985626,30.0,30.0,31.0,29.0,29.0,29.0,30.0,29.0
1645219583.5344357,30.0,30.0,31.0,29.0,29.0,29.0,30.0,29.0
1645219583.8699987,30.0,30.0,31.0,29.0,29.0,29.0,30.0,29.0
1645219584.2054741,30.0,30.0,31.0,29.0,30.0,29.0,30.0,30.0
1645219584.5412984,30.0,30.0,31.0,29.0,30.0,29.0,30.0,30.0
1645219584.8768246,30.0,30.0,31.0,29.0,30.0,29.0,30.0,30.0
1645219585.2123177,30.0,31.0,31.0,29.0,29.0,29.0,30.0,30.0
1645219585.5483437,30.0,31.0,31.0,29.0,29.0,29.0,30.0,30.0
1645219585.8838208,30.0,31.0,31.0,29.0,29.0,29.0,30.0,30.0
1645219586.219341,30.0,31.0,31.0,29.0,30.0,29.0,30.0,30.0
1645219586.5550964,30.0,31.0,31.0,29.0,30.0,29.0,30.0,30.0
1645219586.890647,30.0,31.0,31.0,29.0,30.0,29.0,30.0,30.0
1645219587.2262156,30.0,31.0,31.0,29.0,30.0,29.0,30.0,29.0
1645219587.5621624,30.0,31.0,31.0,29.0,30.0,29.0,30.0,29.0
1645219587.8976953,30.0,31.0,31.0,29.0,30.0,29.0,30.0,29.0
1645219588.2332919,30.0,31.0,32.0,29.0,30.0,29.0,29.0,29.0
1645219588.5693202,30.0,31.0,32.0,29.0,30.0,29.0,29.0,29.0
1645219588.9048686,30.0,31.0,32.0,29.0,30.0,29.0,29.0,29.0
1645219589.2403998,30.0,31.0,31.0,29.0,29.0,29.0,30.0,29.0
1645219589.5764837,30.0,31.0,31.0,29.0,29.0,29.0,30.0,29.0
1645219589.9119585,30.0,31.0,31.0,29.0,29.0,29.0,30.0,29.0
1645219590.2474651,30.0,31.0,31.0,29.0,30.0,29.0,30.0,29.0
1645219590.5833004,30.0,31.0,31.0,29.0,30.0,29.0,30.0,29.0
1645219590.9188328,30.0,31.0,31.0,29.0,30.0,29.0,30.0,29.0
1645219591.2543952,30.0,30.0,31.0,29.0,30.0,29.0,29.0,30.0
1645219591.5904696,30.0,30.0,31.0,29.0,30.0,29.0,29.0,30.0
1645219591.9260242,30.0,30.0,31.0,29.0,30.0,29.0,29.0,30.0
1645219592.2616665,30.0,30.0,30.0,29.0,29.0,29.0,30.0,29.0
1645219592.597482,30.0,30.0,30.0,29.0,29.0,29.0,30.0,29.0
1645219592.9330308,30.0,30.0,30.0,29.0,29.0,29.0,30.0,29.0
1645219593.2685995,30.0,31.0,30.0,29.0,30.0,29.0,30.0,29.0
1645219593.6044471,30.0,31.0,30.0,29.0,30.0,29.0,30.0,29.0
1645219593.9400082,30.0,31.0,30.0,29.0,30.0,29.0,30.0,29.0
1645219594.2755775,30.0,31.0,30.0,29.0,30.0,29.0,29.0,29.0
1645219594.6114268,30.0,31.0,30.0,29.0,30.0,29.0,29.0,29.0
1645219594.9468992,30.0,31.0,30.0,29.0,30.0,29.0,29.0,29.0
1645219595.2824438,30.0,31.0,31.0,29.0,30.0,30.0,29.0,29.0
1645219595.6184735,30.0,31.0,31.0,29.0,30.0,30.0,29.0,29.0
1645219595.954223,30.0,31.0,31.0,29.0,30.0,30.0,29.0,29.0
1645219596.2898004,30.0,31.0,29.0,29.0,29.0,29.0,29.0,30.0
1645219596.6255884,30.0,31.0,29.0,29.0,29.0,29.0,29.0,30.0
1645219596.9610837,30.0,31.0,29.0,29.0,29.0,29.0,29.0,30.0
1645219597.2966065,30.0,31.0,30.0,29.0,30.0,29.0,30.0,29.0
1645219597.6324043,30.0,31.0,30.0,29.0,30.0,29.0,30.0,29.0
1645219597.9679878,30.0,31.0,30.0,29.0,30.0,29.0,30.0,29.0
1645219598.30352,30.0,30.0,30.0,29.0,30.0,29.0,30.0,29.0
1645219598.6394053,30.0,30.0,30.0,29.0,30.0,29.0,30.0,29.0
1645219598.9749317,30.0,30.0,30.0,29.0,30.0,29.0,30.0,29.0
1645219599.3105147,30.0,31.0,30.0,29.0,29.0,29.0,29.0,30.0
1645219599.6464474,30.0,31.0,30.0,29.0,29.0,29.0,29.0,30.0
1645219599.9820168,30.0,31.0,30.0,29.0,29.0,29.0,29.0,30.0
1645219600.3175154,30.0,31.0,31.0,29.0,30.0,29.0,30.0,30.0
1645219600.6534195,30.0,31.0,31.0,29.0,30.0,29.0,30.0,30.0
1645219600.988896,30.0,31.0,31.0,29.0,30.0,29.0,30.0,30.0
