"","x"
"1372",9.25
"1373",8
"1374",26
"1375",15
"1376",30
"1377",17
"1378",14.04
"1379",10
"1380",26.5
"1381",14
"1382",17
"1383",20
"1384",60
"1385",41
"1386",17.65
"1387",15
"1388",11.5
"1389",42
"1390",23
"1391",22.7
"1392",11
"1393",35
"1394",12
"1395",14
"1396",18
"1397",7.5
"1398",28
"1399",20
"1400",26.13
"1401",16
"1402",17
"1403",10.3
"1404",30
"1405",18.5
"1406",10
"1407",17
"1408",13
"1409",10.6
"1410",16.16
"1411",17
"1412",19.25
"1413",30
"1414",20.66
"1415",15
"1416",19.4
"1417",31.25
"1418",25
"1419",15
"1420",12.7
"1421",18
"1422",12
"1423",21
"1424",18
"1425",16
"1426",24
"1427",15
"1428",14
"1429",13
"1430",24
"1431",12.5
"1432",12
"1433",40
"1434",11.47
"1435",32
"1436",19
"1437",36
"1438",27
"1439",20
"1440",28
"1441",11.27
"1442",19
"1443",21
"1444",19.25
"1445",8.5
"1446",30
"1447",14
"1448",25
"1449",14
"1450",52
"1451",27
"1452",30.13
"1453",25
"1454",19.85
"1455",30
"1456",24
"1457",28.5
"1458",28.35
"1459",11.25
"1460",29.9
"1461",12.75
"1462",28.8
"1463",13
"1464",19.2
"1465",21
"1466",15.36
"1467",21.5
"1468",8.5
"1469",11.24
"1470",20
"1471",23.78
"1472",15
"1473",12.75
"1474",28
"1475",22
"1476",15.75
"1477",15
"1478",15
"1479",21.25
"1480",32
"1481",15
"1482",20
"1483",23
"1484",13
"1485",11.26
"1486",18
"1487",17
"1488",18
"1489",20
"1490",10
"1491",20
"1492",15
"1493",21
"1494",21
"1495",21.9
"1496",11
"1497",4.95
"1498",13.5
"1499",15.6
"1500",35
"1501",9
"1502",11.5
"1503",62
"1504",14.8
"1505",29
"1506",5
"1507",20
"1508",15
"1509",14
"1510",10.75
"1511",13
"1512",16.5
"1513",15.6
"1514",12.5
"1515",17
"1516",11.5
"1517",12
"1518",15
"1519",7.25
"1520",23
