"","x"
"1627",495
"1628",480
"1629",510
"1630",555
"1631",480
"1632",390
"1633",420
"1634",375
"1635",360
"1636",480
"1637",450
"1638",420
"1639",480
"1640",375
"1641",480
"1642",390
"1643",480
"1644",420
"1645",390
"1646",540
"1647",480
"1648",420
"1649",450
"1650",420
"1651",480
"1652",405
"1653",420
"1654",420
"1655",450
"1656",450
"1657",540
"1658",480
"1659",330
"1660",540
"1661",390
"1662",285
"1663",345
"1664",375
"1665",390
"1666",780
"1667",360
"1668",600
"1669",450
"1670",360
"1671",480
"1672",420
"1673",420
"1674",390
"1675",360
"1676",480
"1677",540
"1678",660
"1679",395
"1680",450
"1681",600
"1682",430
"1683",425
"1684",420
"1685",390
"1686",360
"1687",480
"1688",540
"1689",330
"1690",420
"1691",375
"1692",465
"1693",397
"1694",390
"1695",330
"1696",360
"1697",450
"1698",405
"1699",480
"1700",405
"1701",600
"1702",240
"1703",540
"1704",315
"1705",390
"1706",420
"1707",495
"1708",510
"1709",450
"1710",360
"1711",390
"1712",360
"1713",360
"1714",375
"1715",390
"1716",330
"1717",420
"1718",345
"1719",510
"1720",360
"1721",420
"1722",420
"1723",420
"1724",420
"1725",540
"1726",405
"1727",390
"1728",405
"1729",510
"1730",480
"1731",375
"1732",390
"1733",525
"1734",480
"1735",480
"1736",330
"1737",390
"1738",480
"1739",540
"1740",540
"1741",300
"1742",390
"1743",585
"1744",510
"1745",360
"1746",420
"1747",435
"1748",480
"1749",450
"1750",420
"1751",450
"1752",600
"1753",540
"1754",465
"1755",540
"1756",330
"1757",420
"1758",420
"1759",420
"1760",480
"1761",540
"1762",600
"1763",540
"1764",345
"1765",390
"1766",390
"1767",540
"1768",390
"1769",450
"1770",420
"1771",390
"1772",540
"1773",405
"1774",420
"1775",480
"1776",390
"1777",580
"1778",363
"1779",390
"1780",660
"1781",450
"1782",450
"1783",480
"1784",360
"1785",600
"1786",420
"1787",510
"1788",720
"1789",540
"1790",570
"1791",450
"1792",480
"1793",420
"1794",300
"1795",420
"1796",465
"1797",405
"1798",420
"1799",570
"1800",390
"1801",435
"1802",360
"1803",420
"1804",390
"1805",360
"1806",420
"1807",540
"1808",540
"1809",480
"1810",420
"1811",405
"1812",420
"1813",660
"1814",360
"1815",480
"1816",360
"1817",470
"1818",480
"1819",540
"1820",480
"1821",480
"1822",240
"1823",510
"1824",510
"1825",480
"1826",420
"1827",435
"1828",480
"1829",540
"1830",480
"1831",420
"1832",405
"1833",480
"1834",490
"1835",360
"1836",390
"1837",450
"1838",720
"1839",510
"1840",360
"1841",480
"1842",510
"1843",390
"1844",465
"1845",510
"1846",420
"1847",470
"1848",480
"1849",450
"1850",480
"1851",330
"1852",480
"1853",480
"1854",420
"1855",420
"1856",480
"1857",450
"1858",390
"1859",450
"1860",360
"1861",600
"1862",360
"1863",600
"1864",450
"1865",450
"1866",510
"1867",465
"1868",600
"1869",420
"1870",480
"1871",330
"1872",420
"1873",440
"1874",480
"1875",390
"1876",480
"1877",420
"1878",450
"1879",540
"1880",480
"1881",570
"1882",450
"1883",540
"1884",230
"1885",510
"1886",425
"1887",330
"1888",420
"1889",310
"1890",480
"1891",390
"1892",390
"1893",360
"1894",420
"1895",450
"1896",600
"1897",360
"1898",420
"1899",390
"1900",330
"1901",480
"1902",420
"1903",600
"1904",600
"1905",385
"1906",420
"1907",360
"1908",420
"1909",630
"1910",390
"1911",420
"1912",450
"1913",420
"1914",510
"1915",420
"1916",540
"1917",540
"1918",450
"1919",420
"1920",430
"1921",420
"1922",390
"1923",540
"1924",540
"1925",420
"1926",480
"1927",640
"1928",360
"1929",540
"1930",390
"1931",390
"1932",450
"1933",420
"1934",435
"1935",600
"1936",510
"1937",390
"1938",435
"1939",450
"1940",660
"1941",240
"1942",465
"1943",420
"1944",360
"1945",390
