"","TRTFRIEND","TRTSPONLY","TRTCCC","TRTALONE","TRTFAMILY","TRCHILDNUM"
"894",0,0,0,371,68,2
"895",0,135,0,108,545,0
"896",0,0,0,212,390,1
"897",0,0,0,500,220,0
"898",0,75,0,0,895,1
"899",0,0,0,565,45,0
"900",0,0,0,0,0,0
"901",0,0,0,240,0,0
"902",0,875,0,60,875,0
"903",0,0,50,194,107,1
"904",0,360,0,360,580,2
"905",0,0,0,280,0,0
"906",0,455,0,115,710,0
"907",0,0,0,70,715,0
"908",0,350,0,460,350,0
"909",0,330,0,460,330,0
"910",125,0,0,100,501,3
"911",45,0,0,450,0,0
"912",0,0,0,780,0,0
"913",90,45,0,54,681,2
"914",0,65,0,325,665,1
"915",0,0,0,830,0,0
"916",0,224,0,80,229,0
"917",0,0,0,540,0,0
