"","x"
"944",166.66
"945",288.46
"946",375
"947",507.69
"948",946.15
"949",769
"950",132
"951",1403.84
"952",1403.84
"953",1520
"954",800
"955",600
"956",1540
"957",400
"958",576.92
"959",653.84
"960",195
"961",1250
"962",1080
"963",1076.92
"964",352
"965",1014
"966",440
"967",2230.76
"968",2769.23
"969",1923.07
"970",288.46
"971",1800
"972",960.52
"973",448
"974",1320
"975",625
"976",396
"977",692.3
"978",150
"979",961.53
"980",692.3
"981",108
"982",720
"983",2000
"984",461.53
"985",420
"986",1846.15
"987",2884.61
"988",1057.69
"989",1730.76
"990",350
"991",961.53
"992",865.38
"993",600
"994",692
"995",800
"996",1961.53
"997",2096.15
"998",60
"999",1653.84
"1000",2884.61
"1001",1153.84
"1002",800
"1003",1615.38
"1004",384.61
"1005",1788.46
"1006",2162
"1007",1346.15
"1008",1250
"1009",1200
"1010",1923
"1011",1000
"1012",2115
"1013",850
"1014",1923.07
"1015",120
"1016",1730.76
"1017",499.6
"1018",400
"1019",2884.61
"1020",2884
"1021",2884.61
"1022",838.77
"1023",1015
"1024",858
"1025",720
"1026",1498.07
"1027",672.8
"1028",1057.69
"1029",900
"1030",500
"1031",1839.6
"1032",420
"1033",200
"1034",961.53
"1035",330
"1036",1365.38
"1037",2038.46
"1038",1923.07
"1039",440
"1040",500
"1041",1153.84
"1042",359.52
"1043",760
"1044",58.2
"1045",1153.84
"1046",900
"1047",2192.3
"1048",196
"1049",529.13
"1050",500
"1051",1498
"1052",2115.38
"1053",1250
"1054",1384.61
"1055",1280
"1056",2500
"1057",2692.3
"1058",450
"1059",519.23
"1060",2884.61
"1061",400
"1062",918.36
"1063",2884.61
"1064",920
"1065",100
"1066",1923.07
"1067",640
"1068",1150
"1069",880
"1070",2884.61
"1071",884.61
"1072",2150
"1073",1366.54
"1074",1806
"1075",1000
"1076",188
"1077",760
"1078",1192.3
"1079",500
"1080",120
"1081",1730
"1082",1410
"1083",1923.07
"1084",600
"1085",1000
"1086",360
"1087",600
"1088",846.15
"1089",511.8
"1090",692.3
"1091",811.52
"1092",1000
"1093",2500
"1094",1100
"1095",1634.61
"1096",738.46
"1097",851.53
"1098",1038.46
"1099",119
"1100",865.38
"1101",2884.61
"1102",2115.38
"1103",30
"1104",300
"1105",2500
"1106",460
"1107",800
"1108",1400
"1109",600
"1110",550
"1111",2884.61
"1112",400
"1113",1807.69
"1114",2884.61
"1115",960
"1116",634.61
"1117",793
"1118",961.53
"1119",673.07
"1120",2000
"1121",1153.84
"1122",1461.53
"1123",646.4
"1124",100
"1125",1634.61
"1126",715
"1127",738.46
"1128",1200
"1129",375
"1130",1384.61
"1131",2884.61
"1132",646.15
"1133",1100
"1134",1384.61
"1135",1923.07
"1136",2211.53
"1137",300
"1138",980.76
"1139",2211.53
"1140",1250
"1141",1400
"1142",2596.15
"1143",2884.61
"1144",442.3
"1145",151.81
"1146",335
"1147",160
"1148",380
"1149",1125
"1150",186.4
"1151",260
"1152",1826.92
"1153",2173.91
"1154",920
"1155",1442
"1156",2884.61
"1157",1300
"1158",2884.61
