"Timestamp","flip [1]","flip [2]","flip [3]","flip [4]","flip [5]","flip [6]","flip [7]","flip [8]","flip [9]","flip [10]"
"2022/01/18 4:22:21 PM MST","heads","heads","heads","tails","tails","heads","heads","tails","heads","heads"
"2022/01/18 4:22:25 PM MST","heads","heads","heads","tails","heads","tails","tails","heads","tails","heads"
"2022/01/18 4:22:33 PM MST","tails","tails","tails","tails","tails","tails","heads","heads","tails","heads"
"2022/01/18 4:22:43 PM MST","heads","heads","heads","heads","heads","heads","heads","tails","tails","heads"
"2022/01/18 4:22:56 PM MST","heads","heads","heads","tails","tails","tails","heads","heads","heads","heads"
"2022/01/18 4:23:30 PM MST","tails","tails","tails","tails","tails","tails","tails","tails","tails","tails"
"2022/01/18 4:24:02 PM MST","tails","tails","tails","tails","tails","tails","tails","tails","tails","tails"
"2022/01/18 4:24:13 PM MST","heads","tails","tails","heads","heads","tails","heads","heads","heads","tails"
"2022/01/18 4:24:15 PM MST","tails","heads","tails","tails","tails","tails","tails","heads","heads","heads"
"2022/01/18 4:24:25 PM MST","tails","tails","tails","tails","tails","tails","tails","tails","tails","tails"
"2022/01/18 4:24:48 PM MST","tails","tails","tails","tails","tails","tails","tails","tails","tails","tails"
"2022/01/18 4:24:54 PM MST","heads","heads","heads","heads","tails","tails","tails","tails","heads","tails"
"2022/01/18 4:25:12 PM MST","tails","tails","tails","tails","tails","tails","tails","tails","tails","tails"
"2022/01/18 4:25:49 PM MST","tails","tails","tails","tails","tails","tails","tails","tails","tails","tails"
"2022/01/18 4:26:12 PM MST","tails","tails","tails","tails","tails","tails","tails","tails","tails","tails"
"2022/01/18 4:26:35 PM MST","tails","tails","tails","tails","tails","tails","tails","tails","tails","tails"
"2022/01/18 4:30:37 PM MST","tails","tails","tails","tails","tails","tails","tails","tails","tails","tails"
"2022/01/18 4:32:09 PM MST","tails","tails","tails","tails","tails","tails","tails","tails","tails","tails"
"2022/01/18 4:32:19 PM MST","tails","tails","tails","tails","tails","tails","tails","tails","tails","tails"
"2022/01/18 4:32:28 PM MST","tails","tails","tails","tails","tails","tails","tails","tails","tails","tails"
"2022/01/18 4:32:38 PM MST","tails","tails","tails","tails","tails","tails","tails","tails","tails","tails"
"2022/01/18 4:32:48 PM MST","tails","tails","tails","tails","tails","tails","tails","tails","tails","tails"
"2022/01/18 4:33:00 PM MST","tails","tails","tails","tails","tails","tails","tails","tails","tails","tails"
"2022/01/18 4:33:09 PM MST","tails","tails","tails","tails","tails","tails","tails","tails","tails","tails"
"2022/01/18 4:33:21 PM MST","tails","tails","tails","tails","tails","tails","tails","tails","tails","tails"
"2022/01/18 4:33:33 PM MST","tails","tails","tails","tails","tails","tails","tails","tails","tails","tails"
"2022/01/18 4:33:45 PM MST","tails","tails","tails","tails","tails","tails","tails","tails","tails","tails"
"2022/01/18 4:33:54 PM MST","tails","tails","tails","tails","tails","tails","tails","tails","tails","tails"
