"popestimate2015","fips"
24922,"13055"
235900,"13057"
123912,"13059"
3141,"13061"
273955,"13063"
6893,"13065"
741334,"13067"
43108,"13069"
45844,"13071"
144052,"13073"
17124,"13075"
138427,"13077"
12388,"13079"
22881,"13081"
16264,"13083"
23312,"13085"
27174,"13087"
734871,"13089"
20882,"13091"
14035,"13093"
91332,"13095"
140733,"13097"
10575,"13099"
4040,"13101"
57106,"13103"
19364,"13105"
22708,"13107"
10787,"13109"
24303,"13111"
110714,"13113"
96504,"13115"
212438,"13117"
22311,"13119"
1010562,"13121"
29400,"13123"
3065,"13125"
83579,"13127"
56574,"13129"
25205,"13131"
16710,"13133"
895823,"13135"
43996,"13137"
193535,"13139"
8551,"13141"
28854,"13143"
33381,"13145"
25534,"13147"
11539,"13149"
217739,"13151"
150033,"13153"
9245,"13155"
63360,"13157"
13635,"13159"
14920,"13161"
16106,"13163"
8957,"13165"
9656,"13167"
28494,"13169"
18201,"13171"
10312,"13173"
47731,"13175"
29202,"13177"
62467,"13179"
7673,"13181"
17731,"13183"
112865,"13185"
31408,"13187"
21540,"13189"
13969,"13191"
13632,"13193"
28441,"13195"
8761,"13197"
21190,"13199"
5854,"13201"
22574,"13205"
27103,"13207"
8951,"13209"
18046,"13211"
39565,"13213"
200579,"13215"
105473,"13217"
35965,"13219"
14871,"13221"
152238,"13223"
26720,"13225"
30309,"13227"
19103,"13229"
17941,"13231"
41524,"13233"
11396,"13235"
21353,"13237"
2302,"13239"
16281,"13241"
7193,"13243"
201793,"13245"
88856,"13247"
5168,"13249"
14162,"13251"
8647,"13253"
64051,"13255"
25586,"13257"
5851,"13259"
30779,"13261"
6337,"13263"
1639,"13265"
25229,"13267"
8330,"13269"
16400,"13271"
9113,"13273"
45063,"13275"
40764,"13277"
27241,"13279"
11182,"13281"
6785,"13283"
69763,"13285"
8214,"13287"
8390,"13289"
22267,"13291"
26368,"13293"
68066,"13295"
88399,"13297"
35370,"13299"
5460,"13301"
20816,"13303"
29534,"13305"
2648,"13307"
7903,"13309"
28319,"13311"
104216,"13313"
8857,"13315"
9867,"13317"
9155,"13319"
20699,"13321"
196428,"15001"
998714,"15003"
89,"15005"
71735,"15007"
164637,"15009"
434211,"16001"
3843,"16003"
83744,"16005"
5922,"16007"
9052,"16009"
44990,"16011"
21592,"16013"
7058,"16015"
41859,"16017"
110089,"16019"
11318,"16021"
2501,"16023"
1066,"16025"
207478,"16027"
6770,"16029"
23506,"16031"
880,"16033"
8496,"16035"
4087,"16037"
25876,"16039"
13074,"16041"
12819,"16043"
16852,"16045"
15284,"16047"
16272,"16049"
27157,"16051"
22814,"16053"
150346,"16055"
38778,"16057"
7735,"16059"
3789,"16061"
5297,"16063"
38273,"16065"
20461,"16067"
40048,"16069"
4281,"16071"
11310,"16073"
22896,"16075"
7648,"16077"
12432,"16079"
10564,"16081"
82375,"16083"
10103,"16085"
9984,"16087"
67013,"17001"
6780,"17003"
16950,"17005"
53585,"17007"
6829,"17009"
33587,"17011"
4899,"17013"
14616,"17015"
12847,"17017"
208861,"17019"
33642,"17021"
15979,"17023"
13428,"17025"
37786,"17027"
52521,"17029"
5238216,"17031"
19414,"17033"
10898,"17035"
104352,"17037"
16247,"17039"
19823,"17041"
933736,"17043"
17664,"17045"
6534,"17047"
34371,"17049"
22043,"17051"
13736,"17053"
39485,"17055"
35699,"17057"
5265,"17059"
13241,"17061"
50541,"17063"
8200,"17065"
18543,"17067"
4135,"17069"
6995,"17071"
49489,"17073"
28672,"17075"
59362,"17077"
9607,"17079"
38353,"17081"
22372,"17083"
22086,"17085"
12762,"17087"
530847,"17089"
110879,"17091"
123355,"17093"
51441,"17095"
703910,"17097"
111333,"17099"
16491,"17101"
34584,"17103"
36671,"17105"
29494,"17107"
31333,"17109"
307343,"17111"
173166,"17113"
107303,"17115"
46045,"17117"
266209,"17119"
38339,"17121"
11982,"17123"
13701,"17125"
14766,"17127"
12444,"17129"
15858,"17131"
33879,"17133"
28898,"17135"
34828,"17137"
14931,"17139"
51659,"17141"
186221,"17143"
21543,"17145"
16387,"17147"
15989,"17149"
4226,"17151"
5678,"17153"
5644,"17155"
32852,"17157"
16029,"17159"
146133,"17161"
264052,"17163"
24548,"17165"
198712,"17167"
7032,"17169"
5092,"17171"
21775,"17173"
5788,"17175"
45749,"17177"
134800,"17179"
17408,"17181"
79282,"17183"
11542,"17185"
17527,"17187"
14270,"17189"
16423,"17191"
14327,"17193"
57079,"17195"
687263,"17197"
67466,"17199"
287078,"17201"
39227,"17203"
34980,"18001"
368450,"18003"
81162,"18005"
8681,"18007"
12298,"18009"
63344,"18011"
14977,"18013"
19856,"18015"
37979,"18017"
115371,"18019"
26503,"18021"
32609,"18023"
10483,"18025"
32906,"18027"
49455,"18029"
26521,"18031"
42589,"18033"
116852,"18035"
42461,"18037"
203474,"18039"
23434,"18041"
76778,"18043"
16591,"18045"
22872,"18047"
20315,"18049"
33775,"18051"
67979,"18053"
32441,"18055"
309697,"18057"
72520,"18059"
39578,"18061"
158192,"18063"
48985,"18065"
82556,"18067"
36630,"18069"
44069,"18071"
33470,"18073"
21121,"18075"
32416,"18077"
27897,"18079"
149633,"18081"
37927,"18083"
78620,"18085"
38809,"18087"
487865,"18089"
110884,"18091"
45495,"18093"
129723,"18095"
939020,"18097"
46857,"18099"
10226,"18101"
35862,"18103"
144705,"18105"
38227,"18107"
69648,"18109"
14008,"18111"
47733,"18113"
5938,"18115"
19605,"18117"
20872,"18119"
16901,"18121"
